mr_id, mr_category, bug_types, test_method, results, duration_ms, failure_message
INH-07,INHERITANCE,PRIVILEGE_LEAKAGE,INH-07,PASS,87,
INH-04,INHERITANCE,PERMISSION_LOSS,INH-04,PASS,35,
INH-01,INHERITANCE,PERMISSION_LOSS,INH-01,PASS,2,
INH-09,INHERITANCE,PRIVILEGE_LEAKAGE,INH-09,PASS,11,
INH-05,INHERITANCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,INH-05,PASS,10,
INH-10,INHERITANCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,INH-10,PASS,7,
INH-08,INHERITANCE,PERMISSION_LOSS,INH-08,PASS,3,
INH-06,INHERITANCE,PERMISSION_LOSS,INH-06,PASS,1,
INH-03,INHERITANCE,PERMISSION_LOSS,INH-03,PASS,6,
INH-02,INHERITANCE,CYCLIC_DEPENDENCY,INH-02,FAIL,9,assertion_failed
EQ-02,EQUIVALENCE,PRIVILEGE_LEAKAGE,EQ-02,PASS,3,
EQ-08,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-08,PASS,6,
EQ-07,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-07,PASS,9,
EQ-05,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-05,PASS,11,
EQ-01,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-01,PASS,4,
EQ-04,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-04,FAIL,8,assertion_failed
EQ-03,EQUIVALENCE,PERMISSION_LOSS,EQ-03,PASS,13,
EQ-09,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,EQ-09,PASS,4,
EQ-06,EQUIVALENCE,PERMISSION_LOSS,EQ-06,PASS,3,
EQ-10,EQUIVALENCE,PERMISSION_LOSS,EQ-10,PASS,2,
MON-01,MONOTONICITY,PERMISSION_LOSS,MON-01,PASS,1,
MON-10,MONOTONICITY,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,MON-10,PASS,13,
MON-08,MONOTONICITY,PERMISSION_LOSS,MON-08,PASS,3,
MON-03,MONOTONICITY,PERMISSION_LOSS,MON-03,PASS,5,
MON-06,MONOTONICITY,PRIVILEGE_LEAKAGE,MON-06,PASS,3,
MON-09,MONOTONICITY,PERMISSION_LOSS,MON-09,PASS,2,
MON-04,MONOTONICITY,PRIVILEGE_LEAKAGE,MON-04,PASS,2,
MON-05,MONOTONICITY,PERMISSION_LOSS,MON-05,PASS,1,
MON-02,MONOTONICITY,PERMISSION_LOSS,MON-02,PASS,3,
MON-07,MONOTONICITY,PRIVILEGE_LEAKAGE,MON-07,PASS,3,
EQ-SCALE-d3w2,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,EQ-SCALE-d3w2,PASS,929,
EQ-SCALE-d5w3,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,EQ-SCALE-d5w3,PASS,145,
EQ-SCALE-d10w4,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,EQ-SCALE-d10w4,PASS,352,
EQ-SCALE-d20w5,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,EQ-SCALE-d20w5,PASS,820,
MON-SCALE-d3w2,MONOTONICITY,PERMISSION_LOSS,MON-SCALE-d3w2,PASS,102,
MON-SCALE-d5w3,MONOTONICITY,PERMISSION_LOSS,MON-SCALE-d5w3,PASS,111,
MON-SCALE-d10w4,MONOTONICITY,PERMISSION_LOSS,MON-SCALE-d10w4,PASS,259,
MON-SCALE-d20w5,MONOTONICITY,PERMISSION_LOSS,MON-SCALE-d20w5,PASS,865,
INH-SCALE-d3w2,INHERITANCE,PERMISSION_LOSS,INH-SCALE-d3w2,PASS,38,
INH-SCALE-d5w3,INHERITANCE,PERMISSION_LOSS,INH-SCALE-d5w3,PASS,45,
INH-SCALE-d10w4,INHERITANCE,PERMISSION_LOSS,INH-SCALE-d10w4,PASS,103,
INH-SCALE-d20w5,INHERITANCE,PERMISSION_LOSS,INH-SCALE-d20w5,PASS,274,
CONC-03,EQUIVALENCE,PRIVILEGE_LEAKAGE|CONSTRAINT_VIOLATION,CONC-03,FAIL,4916,assertion_failed
CONC-02,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-02,FAIL,6417,assertion_failed
CONC-05,EQUIVALENCE,PERMISSION_LOSS|CONSTRAINT_VIOLATION,CONC-05,FAIL,2043,assertion_failed
CONC-04-R1,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R1,PASS,3064,
CONC-04-R2,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R2,FAIL,1930,assertion_failed
CONC-04-R3,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R3,FAIL,2194,assertion_failed
CONC-04-R4,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R4,FAIL,1977,assertion_failed
CONC-04-R5,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-04-R5,FAIL,4439,assertion_failed
CONC-01,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,CONC-01,FAIL,8973,assertion_failed
