MAIN RQ: the detection rate by each MR category
category, total_tests, passed, failed, detection_rate_%, avg_duration_ms
EQUIVALENCE, 9, 0, 9, 100.0, 5396.4

SRQ1: Detection rate by each bug type
bug_type, category, tests_targeting, bugs_detected, detection_rate_%
PRIVILEGE_LEAKAGE, EQUIVALENCE, 8, 8, 100.0
PERMISSION_LOSS, EQUIVALENCE, 8, 8, 100.0
CONSTRAINT_VIOLATION, EQUIVALENCE, 2, 2, 100.0

SRQ2: Computational Cost by MR Category
category, min_ms, max_ms, avg_ms, total_ms
EQUIVALENCE, 726, 28520, 5396.4, 48568

Details for each MR
mr_id, category, result, duration_ms, bug_types
CONC-03-P, EQUIVALENCE, FAIL, 28520, PRIVILEGE_LEAKAGE|CONSTRAINT_VIOLATION
CONC-02-P, EQUIVALENCE, FAIL, 11786, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-05-P, EQUIVALENCE, FAIL, 1862, PERMISSION_LOSS|CONSTRAINT_VIOLATION
CONC-04-R1, EQUIVALENCE, FAIL, 1207, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R2, EQUIVALENCE, FAIL, 796, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R3, EQUIVALENCE, FAIL, 905, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R4, EQUIVALENCE, FAIL, 1040, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-04-R5, EQUIVALENCE, FAIL, 726, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
CONC-01-P, EQUIVALENCE, FAIL, 1726, PRIVILEGE_LEAKAGE|PERMISSION_LOSS
