mr_id,category,bug_types,result,duration_ms,notes
CONC-03-P,EQUIVALENCE,PRIVILEGE_LEAKAGE|CONSTRAINT_VIOLATION,FAIL,28520,assertion_failed
CONC-02-P,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,11786,assertion_failed
CONC-05-P,EQUIVALENCE,PERMISSION_LOSS|CONSTRAINT_VIOLATION,FAIL,1862,assertion_failed
CONC-04-R1,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,1207,assertion_failed
CONC-04-R2,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,796,assertion_failed
CONC-04-R3,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,905,assertion_failed
CONC-04-R4,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,1040,assertion_failed
CONC-04-R5,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,726,assertion_failed
CONC-01-P,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,1726,assertion_failed
