mr_id,category,bug_types,result,duration_ms,notes
INH-07,INHERITANCE,PRIVILEGE_LEAKAGE,PASS,88,
INH-04,INHERITANCE,PERMISSION_LOSS,PASS,48,
INH-01,INHERITANCE,PERMISSION_LOSS,PASS,2,
INH-09,INHERITANCE,PRIVILEGE_LEAKAGE,PASS,6,
INH-05,INHERITANCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,7,
INH-10,INHERITANCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,6,
INH-08,INHERITANCE,PERMISSION_LOSS,PASS,4,
INH-06,INHERITANCE,PERMISSION_LOSS,PASS,2,
INH-03,INHERITANCE,PERMISSION_LOSS,PASS,4,
INH-02,INHERITANCE,CYCLIC_DEPENDENCY,FAIL,7,assertion_failed
EQ-02,EQUIVALENCE,PRIVILEGE_LEAKAGE,PASS,2,
EQ-08,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,5,
EQ-07,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,4,
EQ-05,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,8,
EQ-01,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,3,
EQ-04,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,FAIL,4,assertion_failed
EQ-03,EQUIVALENCE,PERMISSION_LOSS,PASS,10,
EQ-09,EQUIVALENCE,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,4,
EQ-06,EQUIVALENCE,PERMISSION_LOSS,PASS,5,
EQ-10,EQUIVALENCE,PERMISSION_LOSS,PASS,2,
MON-01,MONOTONICITY,PERMISSION_LOSS,PASS,1,
MON-10,MONOTONICITY,PERMISSION_LOSS|PRIVILEGE_LEAKAGE,PASS,8,
MON-08,MONOTONICITY,PERMISSION_LOSS,PASS,10,
MON-03,MONOTONICITY,PERMISSION_LOSS,PASS,6,
MON-06,MONOTONICITY,PRIVILEGE_LEAKAGE,PASS,3,
MON-09,MONOTONICITY,PERMISSION_LOSS,PASS,3,
MON-04,MONOTONICITY,PRIVILEGE_LEAKAGE,PASS,3,
MON-05,MONOTONICITY,PERMISSION_LOSS,PASS,1,
MON-02,MONOTONICITY,PERMISSION_LOSS,PASS,5,
MON-07,MONOTONICITY,PRIVILEGE_LEAKAGE,PASS,5,
EQ-SCALE-d3w2,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,PASS,2181,
EQ-SCALE-d5w3,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,PASS,199,
EQ-SCALE-d10w4,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,PASS,626,
EQ-SCALE-d20w5,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,PASS,1192,
MON-SCALE-d3w2,MONOTONICITY,PERMISSION_LOSS,PASS,425,
MON-SCALE-d5w3,MONOTONICITY,PERMISSION_LOSS,PASS,336,
MON-SCALE-d10w4,MONOTONICITY,PERMISSION_LOSS,PASS,599,
MON-SCALE-d20w5,MONOTONICITY,PERMISSION_LOSS,PASS,1117,
INH-SCALE-d3w2,INHERITANCE,PERMISSION_LOSS,PASS,137,
INH-SCALE-d5w3,INHERITANCE,PERMISSION_LOSS,PASS,136,
INH-SCALE-d10w4,INHERITANCE,PERMISSION_LOSS,PASS,179,
INH-SCALE-d20w5,INHERITANCE,PERMISSION_LOSS,PASS,355,
CONC-03,EQUIVALENCE,PRIVILEGE_LEAKAGE|CONSTRAINT_VIOLATION,PASS,4449,
CONC-02,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,6967,assertion_failed
CONC-05,EQUIVALENCE,PERMISSION_LOSS|CONSTRAINT_VIOLATION,FAIL,2608,assertion_failed
CONC-04-R1,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,2301,assertion_failed
CONC-04-R2,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,1405,assertion_failed
CONC-04-R3,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,2860,assertion_failed
CONC-04-R4,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,2467,assertion_failed
CONC-04-R5,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,1993,assertion_failed
CONC-01,EQUIVALENCE,PRIVILEGE_LEAKAGE|PERMISSION_LOSS,FAIL,10565,assertion_failed
